Brevibacterium linens | Brevibacterium linens | Sery z czerwoną/pomarańczową mazią powierzchniową, lekko pikantne (sery smarowane) | 20,00 zł | https://sklep.gappoland.com/pl/p/Brevibacterium-linens-/22901952
EF LYO | Enterococcus faecium | Sery twarde, półtwarde, feta (kultura aromatyzująca) | 18,00 zł | https://sklep.gappoland.com/pl/p/EF-LYO-/22901956
HL 06 LYO | Lactococcus lactis ssp. lactis, Streptococcus thermophilus | Sery półtwarde prasowane (Edamski, Gouda, Zamojski, Podlaski, Morski, Maasdamer) | 18,00 zł | https://sklep.gappoland.com/pl/p/HL-06-LYO-/22901954
MP 62 LYO | Streptococcus thermophilus | Mozzarella, oscypek, kaszkawał, ser do pizzy, Scamorza, Provolone | 18,00 zł | https://sklep.gappoland.com/pl/p/MP-62-LYO-/22901958
PB LYO | Propionibacterium freudenreichii ssp. shermanii, Propionibacterium freudenreichii ssp. globosum | Sery dojrzewające typu szwajcarskiego (Emmentaler) i holenderskiego (Maasdamer) - oczka | 18,00 zł | https://sklep.gappoland.com/pl/p/PB-LYO-/22901957
Protective LYO | Lactobacillus rhamnosus, Lactobacillus plantarum | Kultura ochronna (bakteriocyny): sery świeże i dojrzewające, feta, napoje fermentowane | 52,70 zł | https://sklep.gappoland.com/pl/p/Protective-LYO-/22901943
SH LYO | Lactococcus lactis ssp. lactis, Lactococcus lactis ssp. lactis biovar diacetylactis, Streptococcus thermophilus | Sery półtwarde z nieregularnymi oczkami (Bałtycki, Tylżycki, Trapistów, Warmiński, Butterkäse) | 18,00 zł | https://sklep.gappoland.com/pl/p/SH-LYO-/22901955
SR 62 LYO | Streptococcus thermophilus | Mozzarella, ser do pizzy, sery z masy parzonej (pasta filata) | 85,90 zł | https://sklep.gappoland.com/pl/p/SR-62-LYO-/22902182
TW 31 LYO | Lactococcus lactis ssp. lactis, Lactococcus lactis ssp. cremoris, Lactococcus lactis ssp. lactis biovar diacetylactis, Leuconostoc spp. | Sery świeże i miękkie, napoje mleczne fermentowane, śmietana | 18,00 zł | https://sklep.gappoland.com/pl/p/TW-31-LYO-/22901901
Y 92 LYO | Streptococcus thermophilus, Lactobacillus delbrueckii ssp. lactis, Lactobacillus helveticus | Sery bardzo twarde bez oczek (Parmezan, Grana, Sbrinz, Pecorino, sery włoskie) | 18,00 zł | https://sklep.gappoland.com/pl/p/Y-92-LYO-/22901945
YPB LYO | Streptococcus thermophilus, Lactobacillus delbrueckii ssp. lactis, Lactobacillus helveticus, Propionibacterium freudenreichii ssp. shermanii, Propionibacterium freudenreichii ssp. globosum | Sery twarde z dużymi oczkami (Emmentaler, Gruyère, Comté) | 18,00 zł | https://sklep.gappoland.com/pl/p/YPB-LYO-/22901949
Kefir 41 LYO | Lactococcus lactis ssp. lactis, Lactococcus lactis ssp. lactis biovar diacetylactis, Lactobacillus brevis, Leuconostoc, Saccharomyces cerevisiae | Napoje fermentowane typu kefir | 18,00 zł | https://sklep.gappoland.com/pl/p/Kefir-41-LYO-/22901896
PBat 91 LYO | Lactococcus lactis ssp. lactis, Lactococcus lactis ssp. cremoris, Lactococcus lactis ssp. lactis biovar diacetylactis, Leuconostoc mesenteroides ssp. cremoris | Sery świeże, śmietana, masło | 95,00 zł | https://sklep.gappoland.com/pl/p/PBat-91-LYO-/22901953
SM 02 LYO | Lactococcus lactis ssp. lactis, Streptococcus thermophilus, Lactococcus lactis ssp. lactis biovar diacetylactis, Lactococcus lactis ssp. cremoris | Śmietana, napoje fermentowane (maślanka) | 6,00 zł | https://sklep.gappoland.com/pl/p/SM-02-LYO/22902158
VEGE C LYO | Streptococcus thermophilus, Lactobacillus delbrueckii ssp. bulgaricus | Fermentacja żywności i napojów roślinnych (jogurty roślinne) | 30,00 zł | https://sklep.gappoland.com/pl/p/VEGE-C-LYO/22902224
YO 56 LYO | Lactobacillus delbrueckii ssp. bulgaricus, Streptococcus thermophilus | Jogurty z krótkim i długim nastawem | 18,00 zł | https://sklep.gappoland.com/pl/p/YO-56-LYO-/22901897
YO-B1 LYO | Lactobacillus delbrueckii ssp. bulgaricus, Streptococcus thermophilus, Lactobacillus acidophilus, Bifidobacterium lactis | Jogurt, mleko fermentowane (probiotyczne) | 14,85 zł | https://sklep.gappoland.com/pl/p/YO-B1-LYO-/22902117
Penicillium roqueforti | Penicillium roqueforti | Sery z przerostem niebieskiej pleśni (Rokpol, Gorgonzola, Danablu, Stilton) | 23,00 zł | https://sklep.gappoland.com/pl/p/Penicilium-roqueforti-/22901951
Penicillium candidum | Penicillium candidum | Sery z porostem białej pleśni (Camembert, Brie, Crescenza) | 18,00 zł | https://sklep.gappoland.com/pl/p/Penicillium-candidum-/22901950
