# nazwa | sklep | litry | dawkowanie | rodzaj dopasowania | url
ARTiVEG ME-30 | Artiser.pl | 5 |  | opakowanie | https://artiser.pl/pl/p/Weganskie-kultury-bakterii-ARTiVEG-ME-30-na-5l-/123
ARTiVEG TH-33 | Artiser.pl | 5 |  | opakowanie | https://artiser.pl/pl/p/Weganskie-kultury-bakterii-ARTiVEG-TH-33-na-5l-/124
ARTiVEG YO PRO-12 | Artiser.pl | 5 |  | opakowanie | https://artiser.pl/pl/p/Weganskie-kultury-jogurtowe-ARTiVEG-YO-PRO-12-na-5l-/122
ARTiVEG YO-9 | Artiser.pl | 5 |  | opakowanie | https://artiser.pl/pl/p/Weganskie-kultury-do-jogurtu-ARTiVEG-YO-9-na-5l-/125
BTH | Artiser.pl | 100 | 2 g / 100 L | opakowanie (2 wariantów, brany najmniejszy) | https://artiser.pl/pl/p/Kultury-bakterii-BTH-/120
BTMH | Artiser.pl | 100 | 2 g / 100 L | opakowanie (2 wariantów, brany najmniejszy) | https://artiser.pl/pl/p/Kultury-bakterii-BTMH-/121
Brevibacterium Linens | Artiser.pl | 100 | 2 g / 100 L | opakowanie (2 wariantów, brany najmniejszy) | https://artiser.pl/pl/p/Bakterie-maziowe-Brevibacterium-Linens/118
CLC | Artiser.pl | 100 | 2 g / 100 L | opakowanie (2 wariantów, brany najmniejszy) | https://artiser.pl/pl/p/Kultury-bakterii-CLC/126
CLCH | Artiser.pl | 100 | 2 g / 100 L | opakowanie (2 wariantów, brany najmniejszy) | https://artiser.pl/pl/p/Kultury-bakterii-CLCH-/127
F-YO | Artiser.pl | 100 | 2 g / 100 L | opakowanie (2 wariantów, brany najmniejszy) | https://artiser.pl/pl/p/Kultury-bakterii-do-jogurtu-F-YO/128
Geotrichum Candidum | Artiser.pl | 100 | 3 g / 100 L | opakowanie (2 wariantów, brany najmniejszy) | https://artiser.pl/pl/p/Geotrichum-Candidum/145
KFF | Artiser.pl | 100 | 2 g / 100 L | opakowanie (2 wariantów, brany najmniejszy) | https://artiser.pl/pl/p/Kultury-bakterii-do-kefiru-KFF/129
ML | Artiser.pl | 100 | 2 g / 100 L | opakowanie (2 wariantów, brany najmniejszy) | https://artiser.pl/pl/p/Kultury-bakterii-ML/130
ML-O | Artiser.pl | 100 | 2 g / 100 L | opakowanie (2 wariantów, brany najmniejszy) | https://artiser.pl/pl/p/Kultury-bakterii-ML-O-do-twarogu-i-nie-tylko/131
MLE | Artiser.pl | 100 | 2 g / 100 L | opakowanie (2 wariantów, brany najmniejszy) | https://artiser.pl/pl/p/Kultury-bakterii-MLE/132
MLL | Artiser.pl | 100 | 2 g / 100 L | opakowanie (2 wariantów, brany najmniejszy) | https://artiser.pl/pl/p/Kultury-bakterii-MLL/119
P-YO | Artiser.pl | 100 | 2 g / 100 L | opakowanie (2 wariantów, brany najmniejszy) | https://artiser.pl/pl/p/P-YO-kultury-bakterii-do-jogurtu-z-probiotykami-/222
Penicillium Candidum | Artiser.pl | 100 | 3 g / 100 L | opakowanie (2 wariantów, brany najmniejszy) | https://artiser.pl/pl/p/Penicillium-Candidum/133
Penicillium Roqueforti | Artiser.pl | 100 | 3 g / 100 L | opakowanie (2 wariantów, brany najmniejszy) | https://artiser.pl/pl/p/Penicillium-Roqueforti/134
Propionibacterium | Artiser.pl | 100 | 2 g / 100 L | opakowanie (2 wariantów, brany najmniejszy) | https://artiser.pl/pl/p/Propionibacterium/141
Brevibacterium linens | GAP Poland | 100 |  | opakowanie | https://sklep.gappoland.com/pl/p/Brevibacterium-linens-/22901952
EF LYO | GAP Poland | 100 |  | opakowanie | https://sklep.gappoland.com/pl/p/EF-LYO-/22901956
HL 06 LYO | GAP Poland |  |  | brak deklaracji | https://sklep.gappoland.com/pl/p/HL-06-LYO-/22901954
Kefir 41 LYO | GAP Poland | 100 |  | opakowanie | https://sklep.gappoland.com/pl/p/Kefir-41-LYO-/22901896
MP 62 LYO | GAP Poland |  |  | brak deklaracji | https://sklep.gappoland.com/pl/p/MP-62-LYO-/22901958
PB LYO | GAP Poland |  |  | brak deklaracji | https://sklep.gappoland.com/pl/p/PB-LYO-/22901957
