# nazwa | sklep | proporcje | producent | zrodlo
ARTiVEG ME-30 | Artiser.pl |  | Artiser | json-ld
ARTiVEG TH-33 | Artiser.pl |  | Artiser | json-ld
ARTiVEG YO PRO-12 | Artiser.pl |  | Artiser | json-ld
ARTiVEG YO-9 | Artiser.pl |  | Artiser | json-ld
BTH | Artiser.pl |  | Artiser | json-ld
BTMH | Artiser.pl |  | Artiser | json-ld
Brevibacterium Linens | Artiser.pl |  | Artiser | json-ld
CLC | Artiser.pl |  | Artiser | json-ld
CLCH | Artiser.pl |  | Artiser | json-ld
F-YO | Artiser.pl |  | Artiser | json-ld
Geotrichum Candidum | Artiser.pl |  | Artiser | json-ld
KFF | Artiser.pl |  | Artiser | json-ld
ML | Artiser.pl |  | Artiser | json-ld
ML-O | Artiser.pl |  | Artiser | json-ld
MLE | Artiser.pl |  | Artiser | json-ld
MLL | Artiser.pl |  | Artiser | json-ld
P-YO | Artiser.pl |  | Artiser | json-ld
Penicillium Candidum | Artiser.pl |  | Artiser | json-ld
Penicillium Roqueforti | Artiser.pl |  | Artiser | json-ld
Propionibacterium | Artiser.pl |  | Artiser | json-ld
Brevibacterium linens | GAP Poland |  | GAP food aditives | microdata
EF LYO | GAP Poland |  | GAP food aditives | microdata
HL 06 LYO | GAP Poland |  | GAP food aditives | microdata
Kefir 41 LYO | GAP Poland |  | GAP food aditives | microdata
MP 62 LYO | GAP Poland |  | GAP food aditives | microdata
PB LYO | GAP Poland |  | GAP food aditives | microdata
PBat 91 LYO | GAP Poland |  | GAP food aditives | microdata
Penicillium candidum | GAP Poland |  | GAP food aditives | microdata
Penicillium roqueforti | GAP Poland |  | GAP food aditives | microdata
Protective LYO | GAP Poland |  | GAP food aditives | microdata
SH LYO | GAP Poland |  | GAP food aditives | microdata
SM 02 LYO | GAP Poland |  | GAP food aditives | microdata
SR 62 LYO | GAP Poland |  | GAP food aditives | microdata
TW 31 LYO | GAP Poland |  | GAP food aditives | microdata
VEGE C LYO | GAP Poland |  |  | 
Y 92 LYO | GAP Poland |  | GAP food aditives | microdata
YO 56 LYO | GAP Poland |  | GAP food aditives | microdata
YO-B1 LYO | GAP Poland |  | GAP food aditives | microdata
YPB LYO | GAP Poland |  | GAP food aditives | microdata
ALPHA 12 | Lactic.pl |  | Coquard | microdata
ALPHA 3 | Lactic.pl |  | Coquard | microdata
ALPHA 6 | Lactic.pl |  | Coquard | microdata
ALPHA BLEU | Lactic.pl |  | Coquard | microdata
BETA 1 | Lactic.pl |  | Coquard | microdata
BETA 8 | Lactic.pl |  | Coquard | microdata
Beaugel 10 25l | Lactic.pl |  | Coquard | microdata
Beaugel 11 25l | Lactic.pl |  | Coquard | microdata
Beaugel 12 | Lactic.pl |  | Coquard | microdata
Beaugel Acid 1 | Lactic.pl |  | Coquard | microdata
Beaugel Bifi 1 | Lactic.pl |  | Coquard | microdata
Beaugel Elben | Lactic.pl |  | Coquard | microdata
Beaugel Kefir 2 | Lactic.pl |  | Coquard | microdata
Beaugel Kefir 3 | Lactic.pl |  | Coquard | microdata
Beaugel Raieb 1 | Lactic.pl |  | Coquard | microdata
Beaugel Soja 1 | Lactic.pl |  | Coquard | microdata
Beaugel Yog 1 | Lactic.pl |  | Coquard | microdata
Beaugel Yog 2 | Lactic.pl |  | Coquard | microdata
Beaugel Yog 3 | Lactic.pl |  | Coquard | microdata
Beaugel Yog 4 | Lactic.pl |  | Coquard | microdata
DELTA 1 | Lactic.pl |  | Coquard | microdata
DELTA 2 | Lactic.pl |  | Coquard | microdata
GAMMA 1 | Lactic.pl |  | Coquard | microdata
GAMMA 3 | Lactic.pl |  |  | 
IOTA 1 | Lactic.pl |  | Coquard | microdata
IOTA 2 | Lactic.pl |  | Coquard | microdata
IOTA 4 | Lactic.pl |  | Coquard | microdata
IOTA CL1 | Lactic.pl |  | Coquard | microdata
IOTA CL2 | Lactic.pl |  | Coquard | microdata
IOTA Ca/1 | Lactic.pl |  | Coquard | microdata
IOTA Ca/2 | Lactic.pl |  | Coquard | microdata
IOTA FETA | Lactic.pl |  | Coquard | microdata
IOTA FF1 | Lactic.pl |  | Coquard | microdata
IOTA FF2 | Lactic.pl |  | Coquard | microdata
IOTA KEFIR 2 | Lactic.pl |  | Coquard | microdata
IOTA KEFIR 3 | Lactic.pl |  | Coquard | microdata
IOTA M | Lactic.pl |  | Coquard | microdata
IOTA PETIT BLEU | Lactic.pl |  | Coquard | microdata
IOTA PROBI 1 | Lactic.pl |  | Coquard | microdata
IOTA RACLETTE | Lactic.pl |  | Coquard | microdata
IOTA ST NECTAIRE 1 | Lactic.pl |  | Coquard | microdata
IOTA V | Lactic.pl |  | Coquard | microdata
KAPPA 1 | Lactic.pl |  | Coquard | microdata
KAPPA 2 | Lactic.pl |  | Coquard | microdata
KAPPA 3 | Lactic.pl |  | Coquard | microdata
KAPPA 4 | Lactic.pl |  | Coquard | microdata
LAMBDA 10 | Lactic.pl |  | Coquard | microdata
LAMBDA 12 | Lactic.pl |  | Coquard | microdata
LAMBDA 3 | Lactic.pl | 50:50 | Coquard | microdata
